요구사항 정의서,,,,,,
,,,,,,
분류,요구사항명,,,,추가설명,비고
,대분류,중분류,요구사항 ID,소분류(기능설명),,
,회원 관리,로그인 및 인증,REQ_001,사용자가 시스템에 로그인할 수 있는 기능,,필수
,,,REQ_002,비밀번호 재설정 및 이메일 인증 기능,,
,,,REQ_003,"소셜 미디어 또는 외부 인증 서비스 연동(예: 구글, 페이스북 등)",,
,,로그인 실패 시,REQ_004,"사용자가 ID를 잊어버려서 찾아야할 때 개인정보(이름, 휴대폰 번호)를 인증하는 기능",개인정보 맞으면 ID 화면에 표시,
,,,REQ_005,사용자가 PW를 잊어버려서 찾아야할 때 개인정보를 인증하는 기능,PW 는 재설정하는 화면 구현,
,,회원 가입,REQ_006,"사용자가 회원으로 등록할 수 있는 기능 (이메일, 비밀번호 입력)",,필수
,,,REQ_007,이메일 인증을 통해 계정을 활성화하는 기능,,필수
,,,REQ_008,약관 동의 및 개인정보 보호 동의 기능,,
,,회원 탈퇴,REQ_009,회원 탈퇴 요청 및 처리 기능,탈퇴한 계정 1년 이내 복구 가능,
,,,REQ_010,탈퇴 후 데이터 삭제 또는 보관 옵션 제공,,
,,,REQ_011,탈퇴 후 복구 가능 여부 설정,,
,,이력서 관리,REQ_012,"사용자가 자신의 이력서(pdf)를 업로드, 수정, 삭제할 수 있는 기능","이력서 pdf 형식으로 업로드, 
이력서 및 자소서 최대 3개까지 업로드 가능하도록",필수
,,,REQ_013,이력서를 시스템에 저장하고 향후 면접 준비에 활용할 수 있는 기능,,
,,,REQ_014,저장된 이력서를 AI 분석에 활용하는 기능,,
,,면접 기록 관리,REQ_015,대화 기록을 사용자가 확인하고 관리할 수 있는 기능,,
,,,REQ_016,과거 면접 기록을 바탕으로 개선사항을 피드백 받을 수 있는 기능,,
,,,REQ_017,면접 기록을 기반으로 사용자가 다음 면접에 대비할 수 있도록 도움을 주는 기능,,
,입력 및 처리 기능,"기업정보, 이력서 및 자소서 기반 질문 및 답변 생성",REQ_018,"자소서 또는 이력서를 시스템에 업로드할 수 있는 기능, 기업을 선택할 수 있는 기능",,필수
,,,REQ_019,"선택된 기업정보, 입력된 자소서/이력서를 분석하여 질문 및 답변을 자동 생성하는 기능",이력서 내용과 맞는 답변 생성,필수
,,면접관 스타일 설정,REQ_020,압박 면접 스타일 선택 기능,태도 미선택시 일반 면접 스타일로 진행,필수
,,,REQ_021,부드러운 면접 스타일 선택 기능,,필수
,,,REQ_022,일반적인 면접 스타일 선택 기능,,필수
,,꼬리 질문 및 연관 질문 처리,REQ_023,면접자의 답변이 질문에 적합한지 판단하는 기능,,필수
,,,REQ_024,연관 질문을 기억하고 이전 답변과 연결하여 질문하는 기능,연관질문은 최대 3번까지 진행,필수
,데이터 저장 및 관리,질문 및 답변 저장,REQ_025,면접 중 나왔던 질문과 대답을 저장하는 기능,,필수
,,,REQ_026,저장된 질문과 답변을 사용자가 확인할 수 있는 기능,,필수
,,,REQ_027,저장된 데이터를 음성 모델 학습에 활용하는 기능 (부가효과),,
,사용자 인터랙션 및 피드백,이력서 및 자소서 기반 피드백 제공,REQ_028,사용자가 업로드한 이력서 및 자소서를 바탕으로 피드백 제공하는 기능,,필수
,,대답에 대한 피드백 제공,REQ_029,면접자가 제공한 대답에 대해 피드백을 제공하는 기능,,필수
,,,REQ_030,"대답의 적합성, 논리성, 전달력에 대한 평가하는 기능",,필수
,,기업 맞춤형 답변 제공,REQ_031,사용자의 대답을 기업의 요구사항에 맞게 수정해주는 기능,,필수
,,,REQ_032,기업별로 맞춤화된 평가 기준 설정 기능,,필수
,멀티모달 인터페이스,화상 면접 기능,REQ_033,사용자가 화상 면접을 진행할 수 있는 기능,,
,,,REQ_034,시선 추적 기능을 통해 사용자의 시선을 분석하는 기능,,
,,음성 및 영상 분석,REQ_035,음성 분석을 통해 사용자의 긴장도 및 심리 상태 파악 기능,,
,,,REQ_036,영상 분석을 통해 사용자의 여유로움이나 긴장 상태를 파악하는 기능,,
